Index,Zip Code,Students Standard Exceeded_math2021,Students Standard Met_math2021,Students Standard Met and Above_math2021,Students Standard Nearly Met_math2021,Students Standard Not Met_math2021,Students with Scores_math2021,Percentage Standard Exceeded_math2021,Percentage Standard Met_math2021,Percentage Standard Met and Above_math2021,Percentage Standard Nearly Met_math2021,Percentage Standard Not Met_math2021,Median Mortgage
112,91006,4,1,5,2,8,15,26.66666667,6.666666667,33.33333333,13.33333333,53.33333333,1074000
113,91007,268,136,404,97,68,569,47.10017575,23.90158172,71.00175747,17.04745167,11.95079086,1056600
114,91008,104,134,238,161,197,596,17.44966443,22.48322148,39.93288591,27.01342282,33.05369128,1414100
115,91010,155,210,365,347,482,1194,12.98157454,17.5879397,30.56951424,29.06197655,40.36850921,560900
116,91016,401,465,866,569,751,2186,18.34400732,21.27172919,39.61573651,26.02927722,34.35498628,707400
117,91042,49,48,97,50,45,192,25.52083333,25,50.52083333,26.04166667,23.4375,617400
118,91101,1,1,2,1,12,15,6.666666667,6.666666667,13.33333333,6.666666667,80,615200
119,91103,3,3,6,4,3,13,23.07692308,23.07692308,46.15384615,30.76923077,23.07692308,780200
120,91104,46,57,103,42,52,197,23.35025381,28.93401015,52.28426396,21.31979695,26.39593909,836500
121,91106,9,21,30,24,44,98,9.183673469,21.42857143,30.6122449,24.48979592,44.89795918,811200
122,91107,46,68,114,79,89,282,16.31205674,24.11347518,40.42553191,28.0141844,31.56028369,913700
123,91108,842,325,1167,150,87,1404,59.97150997,23.14814815,83.11965812,10.68376068,6.196581197,2000000
124,91202,72,79,151,91,107,349,20.63037249,22.63610315,43.26647564,26.07449857,30.65902579,876700
125,91205,52,67,119,102,133,354,14.68926554,18.92655367,33.61581921,28.81355932,37.57062147,677200
126,91206,0,1,1,5,60,66,0,1.515151515,1.515151515,7.575757576,90.90909091,910500
127,91214,334,257,591,157,96,844,39.57345972,30.45023697,70.02369668,18.60189573,11.37440758,851700
128,91301,313,304,617,355,232,1204,25.99667774,25.24916944,51.24584718,29.48504983,19.26910299,871000
129,91302,448,479,927,434,280,1641,27.30042657,29.18951859,56.48994516,26.44728824,17.06276661,1341400
130,91303,6,35,41,65,108,214,2.803738318,16.35514019,19.1588785,30.37383178,50.46728972,536400
131,91311,79,120,199,127,145,471,16.77282378,25.47770701,42.25053079,26.96390658,30.78556263,679000
132,91320,57,27,84,25,31,140,40.71428571,19.28571429,60,17.85714286,22.14285714,755800
133,91321,246,301,547,413,518,1478,16.64411367,20.36535859,37.00947226,27.94316644,35.0473613,513500
134,91324,5,7,12,26,87,125,4,5.6,9.6,20.8,69.6,680200
135,91325,10,30,40,41,66,147,6.802721088,20.40816327,27.21088435,27.89115646,44.89795918,720900
136,91331,9,47,56,169,380,605,1.487603306,7.768595041,9.256198347,27.9338843,62.80991736,487600
137,91335,204,264,468,289,324,1081,18.87141536,24.42183164,43.29324699,26.73450509,29.97224792,580500
138,91340,36,113,149,277,421,847,4.250295159,13.34120425,17.59149941,32.70365998,49.70484061,515000
139,91342,121,263,384,496,1034,1914,6.32183908,13.74085684,20.06269592,25.91431557,54.02298851,520900
140,91343,54,157,211,276,482,969,5.572755418,16.20227038,21.7750258,28.48297214,49.74200206,608500
141,91344,69,112,181,150,213,544,12.68382353,20.58823529,33.27205882,27.57352941,39.15441176,690300
142,91352,57,122,179,177,455,811,7.028360049,15.0431566,22.07151665,21.82490752,56.10357583,584100
143,91355,250,195,445,169,194,808,30.94059406,24.13366337,55.07425743,20.91584158,24.00990099,600200
144,91360,115,112,227,98,79,404,28.46534653,27.72277228,56.18811881,24.25742574,19.55445545,735100
145,91361,236,257,493,360,469,1322,17.85173979,19.44024206,37.29198185,27.23146747,35.47655068,1042900
146,91362,194,162,356,114,107,577,33.62218371,28.0762565,61.69844021,19.75736568,18.54419411,878300
147,91364,185,265,450,311,255,1016,18.20866142,26.08267717,44.29133858,30.61023622,25.0984252,949000
148,91367,162,173,335,165,161,661,24.50832073,26.17246596,50.68078669,24.96217852,24.3570348,786200
149,91377,914,595,1509,371,232,2112,43.27651515,28.17234848,71.44886364,17.56628788,10.98484848,823300
150,91381,548,303,851,187,83,1121,48.88492417,27.029438,75.91436218,16.68153434,7.404103479,851300
151,91401,24,72,96,88,167,351,6.837606838,20.51282051,27.35042735,25.07122507,47.57834758,798900
152,91402,15,28,43,57,120,220,6.818181818,12.72727273,19.54545455,25.90909091,54.54545455,483700
153,91403,24,26,50,45,50,145,16.55172414,17.93103448,34.48275862,31.03448276,34.48275862,1129100
154,91405,29,75,104,155,255,514,5.642023346,14.59143969,20.23346304,30.15564202,49.61089494,581600
155,91406,75,161,236,299,379,914,8.205689278,17.61487965,25.82056893,32.71334792,41.46608315,608600
156,91411,69,80,149,93,135,377,18.30238727,21.22015915,39.52254642,24.66843501,35.80901857,759300
157,91501,38,50,88,85,86,259,14.67181467,19.30501931,33.97683398,32.81853282,33.2046332,827400
158,91502,23,19,42,12,10,64,35.9375,29.6875,65.625,18.75,15.625,761400
