Index,Zip Code,Students Standard Exceeded_english2021,Students Standard Met_english2021,Students Standard Met and Above_english2021,Students Standard Nearly Met_english2021,Students Standard Not Met_english2021,Students with Scores_english2021,Percentage Standard Exceeded_english2021,Percentage Standard Met_english2021,Percentage Standard Met and Above_english2021,Percentage Standard Nearly Met_english2021,Percentage Standard Not Met_english2021,Median Mortgage
18,90022,224,321,545,316,569,1430,15.66433566,22.44755245,38.11188811,22.0979021,39.79020979,471000
19,90023,29,43,72,62,102,236,12.28813559,18.22033898,30.50847458,26.27118644,43.22033898,479600
20,90025,250,301,551,148,121,820,30.48780488,36.70731707,67.19512195,18.04878049,14.75609756,905900
21,90026,61,172,233,187,287,707,8.628005658,24.3281471,32.95615276,26.44978784,40.59405941,962100
22,90027,137,96,233,40,17,290,47.24137931,33.10344828,80.34482759,13.79310345,5.862068966,1287200
23,90028,70,86,156,75,75,306,22.87581699,28.10457516,50.98039216,24.50980392,24.50980392,723000
24,90031,156,272,428,293,416,1137,13.72031662,23.92260334,37.64291996,25.76956904,36.58751099,616900
25,90032,67,112,179,62,37,278,24.10071942,40.28776978,64.38848921,22.30215827,13.30935252,605400
26,90033,305,364,669,261,312,1242,24.55716586,29.30756844,53.8647343,21.01449275,25.12077295,538900
27,90034,112,119,231,75,47,353,31.72804533,33.71104816,65.43909348,21.24645892,13.31444759,1152500
28,90035,95,62,157,32,23,212,44.81132075,29.24528302,74.05660377,15.09433962,10.8490566,1494600
29,90036,0,3,3,5,3,11,0,27.27272727,27.27272727,45.45454545,27.27272727,1634700
30,90037,50,85,135,108,138,381,13.12335958,22.30971129,35.43307087,28.34645669,36.22047244,502000
31,90040,44,120,164,148,321,633,6.951026856,18.95734597,25.90837283,23.3807267,50.71090047,452100
32,90041,96,110,206,96,119,421,22.80285036,26.12826603,48.93111639,22.80285036,28.26603325,886800
33,90042,71,105,176,64,38,278,25.53956835,37.76978417,63.30935252,23.02158273,13.66906475,731600
34,90043,82,231,313,257,408,978,8.384458078,23.6196319,32.00408998,26.27811861,41.71779141,684500
35,90044,11,23,34,34,52,120,9.166666667,19.16666667,28.33333333,28.33333333,43.33333333,461200
36,90045,209,174,383,136,106,625,33.44,27.84,61.28,21.76,16.96,1103500
37,90046,85,78,163,57,47,267,31.83520599,29.21348315,61.04868914,21.34831461,17.60299625,1290400
38,90047,113,194,307,197,333,837,13.50059737,23.17801673,36.6786141,23.53643967,39.78494624,519400
39,90057,66,129,195,106,164,465,14.19354839,27.74193548,41.93548387,22.79569892,35.2688172,576200
40,90059,100,127,227,90,44,361,27.70083102,35.1800554,62.88088643,24.93074792,12.18836565,415100
41,90061,7,26,33,30,18,81,8.641975309,32.09876543,40.74074074,37.03703704,22.22222222,438800
42,90062,6,21,27,40,93,160,3.75,13.125,16.875,25,58.125,550600
43,90063,87,149,236,188,166,590,14.74576271,25.25423729,40,31.86440678,28.13559322,481100
44,90064,4,8,12,6,7,25,16,32,48,24,28,1388300
45,90065,110,198,308,139,131,578,19.03114187,34.25605536,53.28719723,24.04844291,22.66435986,833400
