Year,County_name,County_dept,Crimes,Number of Crimes
2021,Merced County,Merced Co. Sheriff's Department,PropertyCrime_sum,7200
2021,Modoc County,Modoc Co. Sheriff's Department,PropertyCrime_sum,56
2021,Mono County,Mono Co. Sheriff's Department,PropertyCrime_sum,107
2021,Monterey County,Monterey Co. Sheriff's Department,PropertyCrime_sum,7124
2021,Napa County,Napa Co. Sheriff's Department,PropertyCrime_sum,1927
2021,Nevada County,Nevada Co. Sheriff's Department,PropertyCrime_sum,881
2021,Orange County,Orange Co. Sheriff's Department,PropertyCrime_sum,58821
2021,Placer County,Placer Co. Sheriff's Department,PropertyCrime_sum,5832
2021,Plumas County,Plumas Co. Sheriff's Department,PropertyCrime_sum,269
2021,Riverside County,Riverside Co. Sheriff's Department,PropertyCrime_sum,50113
2021,Sacramento County,Sacramento Co. Sheriff's Department,PropertyCrime_sum,34457
2021,San Benito County,San Benito Co. Sheriff's Department,PropertyCrime_sum,562
2021,San Bernardino County,San Bernardino Co. Sheriff's Department,PropertyCrime_sum,38777
2021,San Diego County,San Diego Co. Sheriff's Department,PropertyCrime_sum,54262
2021,San Francisco County,San Francisco,PropertyCrime_sum,64153
2021,San Joaquin County,San Joaquin Co. Sheriff's Department,PropertyCrime_sum,17515
2021,San Luis Obispo County,San Luis Obispo Co. Sheriff's Department,PropertyCrime_sum,5270
2021,San Mateo County,San Mateo Co. Sheriff's Department,PropertyCrime_sum,15291
2021,Santa Barbara County,Santa Barbara Co. Sheriff's Department,PropertyCrime_sum,9642
2021,Santa Clara County,Santa Clara Co. Sheriff's Department,PropertyCrime_sum,41997
2021,Santa Cruz County,Santa Cruz Co. Sheriff's Department,PropertyCrime_sum,5478
2021,Shasta County,Shasta Co. Sheriff's Department,PropertyCrime_sum,380
2021,Sierra County,Sierra Co. Sheriff's Department,PropertyCrime_sum,50
2021,Siskiyou County,Siskiyou Co. Sheriff's Department,PropertyCrime_sum,704
2021,Solano County,Solano Co. Sheriff's Department,PropertyCrime_sum,10474
2021,Sonoma County,Sonoma Co. Sheriff's Department,PropertyCrime_sum,6707
2021,Stanislaus County,Stanislaus Co. Sheriff's Department,PropertyCrime_sum,10966
2021,Sutter County,Sutter Co. Sheriff's Department,PropertyCrime_sum,2355
2021,Tehama County,Tehama Co. Sheriff's Department,PropertyCrime_sum,1289
2021,Trinity County,Trinity Co. Sheriff's Department,PropertyCrime_sum,221
2021,Tulare County,Tulare Co. Sheriff's Department,PropertyCrime_sum,9082
2021,Tuolumne County,Tuolumne Co. Sheriff's Department,PropertyCrime_sum,951
2021,Ventura County,Ventura Co. Sheriff's Department,PropertyCrime_sum,12161
2021,Yolo County,Yolo Co. Sheriff's Department,PropertyCrime_sum,5503
2021,Yuba County,Yuba Co. Sheriff's Department,PropertyCrime_sum,1284
2021,Alameda County,Alameda Co. Sheriff's Department,Burglary_sum,14273
2021,Alpine County,Alpine Co. Sheriff's Department,Burglary_sum,19
2021,Amador County,Amador Co. Sheriff's Department,Burglary_sum,312
2021,Butte County,Butte Co. Sheriff's Department,Burglary_sum,1925
2021,Calaveras County,Calaveras Co. Sheriff's Department,Burglary_sum,441
2021,Colusa County,Colusa Co. Sheriff's Department,Burglary_sum,188
2021,Contra Costa County,Contra Costa Co. Sheriff's Department,Burglary_sum,6815
2021,Del Norte County,Del Norte Co. Sheriff's Department,Burglary_sum,469
2021,El Dorado County,El Dorado Co. Sheriff's Department,Burglary_sum,1232
2021,Fresno County,Fresno Co. Sheriff's Department,Burglary_sum,15676
2021,Glenn County,Glenn Co. Sheriff's Department,Burglary_sum,198
2021,Humboldt County,Humboldt Co. Sheriff's Department,Burglary_sum,2282
2021,Imperial County,Imperial Co. Sheriff's Department,Burglary_sum,2231
2021,Inyo County,Inyo Co. Sheriff's Department,Burglary_sum,194
2021,Kern County,Kern Co. Sheriff's Department,Burglary_sum,13005
2021,Kings County,Kings Co. Sheriff's Department,Burglary_sum,1019
2021,Lake County,Lake Co. Sheriff's Department,Burglary_sum,788
2021,Lassen County,Lassen Co. Sheriff's Department,Burglary_sum,254
2021,Los Angeles County,Los Angeles Co. Sheriff's Department,Burglary_sum,88031
2021,Madera County,Madera Co. Sheriff's Department,Burglary_sum,1042
2021,Marin County,Marin Co. Sheriff's Department,Burglary_sum,1246
2021,Mariposa County,Mariposa Co. Sheriff's Department,Burglary_sum,90
2021,Mendocino County,Mendocino Co. Sheriff's Department,Burglary_sum,783
2021,Merced County,Merced Co. Sheriff's Department,Burglary_sum,3251
2021,Modoc County,Modoc Co. Sheriff's Department,Burglary_sum,31
2021,Mono County,Mono Co. Sheriff's Department,Burglary_sum,56
2021,Monterey County,Monterey Co. Sheriff's Department,Burglary_sum,3658
2021,Napa County,Napa Co. Sheriff's Department,Burglary_sum,713
2021,Nevada County,Nevada Co. Sheriff's Department,Burglary_sum,590
2021,Orange County,Orange Co. Sheriff's Department,Burglary_sum,22152
2021,Placer County,Placer Co. Sheriff's Department,Burglary_sum,1949
2021,Plumas County,Plumas Co. Sheriff's Department,Burglary_sum,202
2021,Riverside County,Riverside Co. Sheriff's Department,Burglary_sum,20378
2021,Sacramento County,Sacramento Co. Sheriff's Department,Burglary_sum,12745
2021,San Benito County,San Benito Co. Sheriff's Department,Burglary_sum,268
2021,San Bernardino County,San Bernardino Co. Sheriff's Department,Burglary_sum,16767
