Index,Zip Code,Students Standard Exceeded_english2022,Students Standard Met_english2022,Students Standard Met and Above_english2022,Students Standard Nearly Met_english2022,Students Standard Not Met_english2022,Students with Scores_english2022,Percentage Standard Exceeded_english2022,Percentage Standard Met_english2022,Percentage Standard Met and Above_english2022,Percentage Standard Nearly Met_english2022,Percentage Standard Not Met_english2022,Median Mortgage
201,91351,828,1311,2139,987,860,3986,20.77270447,32.8901154,53.66281987,24.76166583,21.5755143,471900
202,91352,571,1229,1800,1303,1898,5001,11.41771646,24.57508498,35.99280144,26.05478904,37.95240952,584100
203,91354,1249,1245,2494,571,298,3363,37.13945882,37.0205174,74.15997621,16.9788879,8.861135891,648600
204,91355,1038,738,1776,384,335,2495,41.60320641,29.57915832,71.18236473,15.39078156,13.42685371,600200
205,91356,695,631,1326,357,381,2064,33.67248062,30.57170543,64.24418605,17.29651163,18.45930233,1023000
206,91360,812,738,1550,474,397,2421,33.53985956,30.48327138,64.02313094,19.57868649,16.39818257,735100
207,91361,462,457,919,378,421,1718,26.89173458,26.60069849,53.49243306,22.00232829,24.50523865,1042900
208,91362,1035,865,1900,443,413,2756,37.55442671,31.38606676,68.94049347,16.07402032,14.98548621,878300
209,91364,545,500,1045,303,239,1587,34.34152489,31.50598614,65.84751103,19.0926276,15.05986137,949000
210,91367,1072,1420,2492,925,844,4261,25.15841352,33.32551044,58.48392396,21.70851913,19.80755691,786200
211,91377,1025,721,1746,277,125,2148,47.71880819,33.56610801,81.2849162,12.89571695,5.819366853,823300
212,91381,1273,773,2046,288,138,2472,51.49676375,31.27022654,82.76699029,11.65048544,5.582524272,851300
213,91384,454,655,1109,373,411,1893,23.98309562,34.60116218,58.58425779,19.70417327,21.71156894,579800
214,91387,482,598,1080,464,484,2028,23.76725838,29.48717949,53.25443787,22.87968442,23.86587771,599500
215,91390,26,41,67,54,55,176,14.77272727,23.29545455,38.06818182,30.68181818,31.25,647600
216,91401,293,363,656,318,556,1530,19.1503268,23.7254902,42.87581699,20.78431373,36.33986928,798900
217,91402,329,710,1039,845,1369,3253,10.11374116,21.82600676,31.93974792,25.97602213,42.08422994,483700
218,91403,100,116,216,90,104,410,24.3902439,28.29268293,52.68292683,21.95121951,25.36585366,1129100
219,91405,246,512,758,587,991,2336,10.53082192,21.91780822,32.44863014,25.12842466,42.42294521,581600
220,91406,575,986,1561,928,1097,3586,16.03457892,27.49581707,43.53039598,25.87841606,30.59118795,608600
221,91411,465,593,1058,509,823,2390,19.45606695,24.81171548,44.26778243,21.29707113,34.43514644,759300
222,91423,529,589,1118,323,273,1714,30.86347725,34.36406068,65.22753792,18.84480747,15.92765461,1066600
223,91436,266,194,460,62,35,557,47.75583483,34.82944345,82.58527828,11.13105925,6.283662478,1545300
224,91501,185,184,369,134,155,658,28.11550152,27.96352584,56.07902736,20.36474164,23.556231,827400
225,91502,183,169,352,86,59,497,36.82092555,34.00402414,70.8249497,17.30382294,11.87122736,761400
226,91504,489,649,1138,447,324,1909,25.6155055,33.99685699,59.61236249,23.41540073,16.97223677,819100
227,91505,516,577,1093,402,324,1819,28.36723474,31.72072567,60.08796042,22.10005498,17.81198461,812500
228,91506,478,680,1158,480,453,2091,22.85987566,32.5203252,55.38020086,22.95552367,21.66427547,850600
229,91601,619,420,1039,314,388,1741,35.55427915,24.12406663,59.67834578,18.03561172,22.2860425,744500
230,91602,513,445,958,302,323,1583,32.40682249,28.1111813,60.51800379,19.07770057,20.40429564,873700
231,91604,240,86,326,49,29,404,59.40594059,21.28712871,80.69306931,12.12871287,7.178217822,1263200
232,91605,228,552,780,625,1131,2536,8.990536278,21.76656151,30.75709779,24.64511041,44.5977918,605900
233,91606,300,513,813,570,852,2235,13.42281879,22.95302013,36.37583893,25.5033557,38.12080537,648100
234,91607,206,113,319,70,48,437,47.1395881,25.85812357,72.99771167,16.01830664,10.98398169,864100
235,91701,1401,1370,2771,744,497,4012,34.92023928,34.14755733,69.06779661,18.5443669,12.38783649,577200
236,91702,306,831,1137,829,1159,3125,9.792,26.592,36.384,26.528,37.088,474100
237,91706,860,1622,2482,1501,2086,6069,14.17037403,26.72598451,40.89635854,24.73224584,34.37139562,465900
238,91708,296,297,593,265,244,1102,26.86025408,26.95099819,53.81125227,24.04718693,22.1415608,488900
239,91709,2712,2085,4797,1037,891,6725,40.32713755,31.00371747,71.33085502,15.42007435,13.24907063,676800
240,91710,985,1573,2558,1508,1779,5845,16.85201027,26.9118905,43.76390077,25.79982891,30.43627032,512600
241,91711,948,1053,2001,718,605,3324,28.5198556,31.67870036,60.19855596,21.60048135,18.2009627,714400
242,91722,371,621,992,580,695,2267,16.36524041,27.39303044,43.75827084,25.58447287,30.65725629,513600
243,91723,507,850,1357,643,655,2655,19.0960452,32.01506591,51.11111111,24.21845574,24.67043315,579100
244,91724,319,508,827,445,435,1707,18.6877563,29.75981254,48.44756883,26.06912712,25.48330404,613400
245,91730,922,1341,2263,1066,1180,4509,20.4479929,29.74051896,50.18851187,23.64160568,26.16988246,452400
246,91731,423,605,1028,442,527,1997,21.18177266,30.29544316,51.47721582,22.1331998,26.38958438,497100
247,91732,773,1399,2172,1400,2141,5713,13.53054437,24.4880098,38.01855417,24.50551374,37.47593208,517800
248,91733,352,503,855,467,594,1916,18.37160752,26.2526096,44.62421712,24.3736952,31.00208768,486400
249,91737,914,724,1638,370,218,2226,41.06019766,32.524708,73.58490566,16.62174304,9.793351303,659500
250,91739,2208,1892,4100,972,665,5737,38.48701412,32.97890884,71.46592296,16.94265295,11.59142409,648400
251,91740,273,290,563,244,220,1027,26.58227848,28.2375852,54.81986368,23.75851996,21.42161636,590200
252,91741,803,979,1782,638,433,2853,28.14581143,34.3147564,62.46056782,22.36242552,15.17700666,757100
253,91744,744,1562,2306,1588,2002,5896,12.61872456,26.49253731,39.11126187,26.93351425,33.95522388,463200
254,91745,1449,1345,2794,842,857,4493,32.25016693,29.93545515,62.18562208,18.74026263,19.07411529,647300
