zip_code,district,postal_area_name,percent_of_zip_code_population_in_district
91752,41,Mira Loma,0
91754,28,Monterey Park,100
91755,28,Monterey Park,100
91759,28,Mt Baldy,100
91761,35,Ontario,100
91762,35,Ontario,100
91763,35,Montclair,100
91764,35,Ontario,100
91765,38,Diamond Bar,100
91766,35,Pomona,96.78222373
91766,38,Pomona,3.217776269
91767,31,Pomona,0
91767,35,Pomona,100
91768,35,Pomona,99.93533513
91768,38,Pomona,0.064664867
91770,28,Rosemead,99.08861186
91770,31,Rosemead,0
91770,38,Rosemead,0.91138814
91773,28,San Dimas,0
91773,31,San Dimas,100
91773,35,San Dimas,0
91775,28,San Gabriel,100
91776,28,San Gabriel,100
91780,28,Temple City,95.10503203
91780,31,Temple City,4.894967973
91784,28,Upland,99.50220825
91784,35,Upland,0.497791751
91786,28,Upland,2.478345857
91786,35,Upland,97.52165414
91789,31,Walnut,0.038801989
91789,35,Walnut,1.6175579
91789,38,Walnut,98.34364011
91790,31,West Covina,100
91791,31,West Covina,100
91792,31,West Covina,100
91792,38,West Covina,0
91801,28,Alhambra,100
91803,28,Alhambra,100
91901,48,Alpine,100
91902,48,Bonita,2.77622612
91902,51,Bonita,0.435705508
91902,52,Bonita,96.78806837
91905,48,Boulevard,100
91906,48,Campo,100
91910,52,Chula Vista,100
91911,52,Chula Vista,100
91913,52,Chula Vista,100
91914,48,Chula Vista,0.062778222
91914,52,Chula Vista,99.93722178
91915,48,Chula Vista,0.021072912
91915,52,Chula Vista,99.97892709
91916,48,Descanso,100
91917,48,Dulzura,100
91931,48,Guatay,100
91932,50,Imperial Beach,0
91932,52,Imperial Beach,100
91934,48,Jacumba,100
91935,48,Jamul,100
91941,48,La Mesa,34.68653194
91941,51,La Mesa,65.31346806
91942,51,La Mesa,100
91945,51,Lemon Grove,100
91945,52,Lemon Grove,0
91948,48,Mount Laguna,100
91950,52,National City,100
91962,48,Pine Valley,100
91963,48,Potrero,100
91977,48,Spring Valley,10.41533021
91977,51,Spring Valley,89.58466979
91978,48,Spring Valley,4.693939089
91978,51,Spring Valley,95.30606091
91980,48,Tecate,100
92003,48,Bonsall,90.37858189
92003,49,Bonsall,9.621418113
92004,25,Borrego Springs,0.087873462
92004,48,Borrego Springs,99.91212654
92007,49,Cardiff By The Sea,100
92008,49,Carlsbad,100
92009,49,Carlsbad,100
92009,50,Carlsbad,0
92010,49,Carlsbad,100
92011,49,Carlsbad,100
92014,49,Del Mar,36.7567977
92014,50,Del Mar,63.2432023
92019,48,El Cajon,59.10703201
92019,51,El Cajon,40.89296799
92020,48,El Cajon,6.103814471
92020,51,El Cajon,93.89618553
92021,48,El Cajon,56.10619971
92021,51,El Cajon,43.89380029
92024,49,Encinitas,99.68743895
92024,50,Encinitas,0.312561047
92025,48,Escondido,11.3364091
92025,50,Escondido,88.6635909
92026,48,Escondido,93.45606758
92026,50,Escondido,6.54393242
92027,48,Escondido,63.93209008
92027,50,Escondido,36.06790992
92028,48,Fallbrook,95.04979269
92028,49,Fallbrook,4.950207308
92029,48,Escondido,0.26841213
92029,50,Escondido,99.73158787
92036,48,Julian,100
92037,50,La Jolla,100
92040,48,Lakeside,100
92054,49,Oceanside,100
92055,49,Camp Pendleton,100
92056,49,Oceanside,100
92057,49,Oceanside,100
92058,49,Oceanside,100
92059,48,Pala,100
92060,48,Palomar Mountain,100
92061,48,Pauma Valley,100
92064,48,Poway,100
92064,50,Poway,0
92065,48,Ramona,100
92065,50,Ramona,0
92066,48,Ranchita,100
92067,50,Rancho Santa Fe,100
92069,49,San Marcos,0
92069,50,San Marcos,100
92070,48,Santa Ysabel,100
92071,48,Santee,99.79056895
92071,51,Santee,0.209431046
92075,49,Solana Beach,99.9253174
92075,50,Solana Beach,0.074682599
92078,49,San Marcos,0.015282633
92078,50,San Marcos,99.98471737
92081,49,Vista,100
92082,48,Valley Center,100
92083,49,Vista,100
92084,48,Vista,1.52980517
92084,49,Vista,83.45047156
92084,50,Vista,15.01972327
92086,48,Warner Springs,100
92091,49,Rancho Santa Fe,0
92091,50,Rancho Santa Fe,100
92092,50,La Jolla,100
92093,50,La Jolla,100
92096,50,San Marcos,100
92101,50,San Diego,100
92101,52,San Diego,0
92102,50,San Diego,32.95126059
92102,52,San Diego,67.04873941
92103,50,San Diego,100
92104,50,San Diego,75.20162657
92104,51,San Diego,2.747091381
92104,52,San Diego,22.05128205
92105,50,San Diego,0
92105,51,San Diego,3.052013398
92105,52,San Diego,96.9479866
92106,50,San Diego,100
92107,50,San Diego,100
92108,50,San Diego,1.916261436
92108,51,San Diego,98.08373856
92109,50,San Diego,99.87687762
92109,51,San Diego,0.123122384
92110,50,San Diego,42.14120072
92110,51,San Diego,57.85879928
92111,51,San Diego,100
92113,50,San Diego,4.580137543
92113,52,San Diego,95.41986246
92114,52,San Diego,100
92115,51,San Diego,76.35990101
92115,52,San Diego,23.64009899
92116,50,San Diego,42.2865844
92116,51,San Diego,57.7134156
92117,51,San Diego,100
92118,50,Coronado,100
92118,52,Coronado,0
92119,51,San Diego,100
92120,51,San Diego,100
92121,50,San Diego,40.48948046
92121,51,San Diego,59.51051954
92122,50,San Diego,86.3624414
92122,51,San Diego,13.6375586
92123,51,San Diego,100
92124,51,San Diego,100
92126,51,San Diego,100
92127,50,San Diego,100
92128,50,San Diego,55.25130901
92128,51,San Diego,44.74869099
92129,50,San Diego,58.36878756
92129,51,San Diego,41.63121244
92130,50,San Diego,100
92131,48,San Diego,0
92131,51,San Diego,100
92132,50,San Diego,0
92134,50,San Diego,100
92135,50,San Diego,100
92136,52,San Diego,100
92139,52,San Diego,100
92140,50,San Diego,100
92145,51,San Diego,100
92147,50,San Diego,100
92154,48,San Diego,3.101384079
92154,52,San Diego,96.89861592
92155,50,San Diego,100
92161,50,San Diego,100
92173,52,San Ysidro,100
92179,52,San Diego,100
92182,51,San Diego,100
92201,25,Indio,99.74622699
92201,41,Indio,0.253773008
92203,25,Indio,100
92203,41,Indio,0
92210,41,Indian Wells,100
92211,25,Palm Desert,25.46680301
92211,41,Palm Desert,74.53319699
92220,25,Banning,99.99392964
92220,41,Banning,0.006070355
92222,25,Bard,100
92223,25,Beaumont,88.81583339
92223,41,Beaumont,11.18416661
92225,25,Blythe,100
92227,25,Brawley,100
92230,25,Cabazon,100
92231,25,Calexico,100
92233,25,Calipatria,100
92234,25,Cathedral City,99.96893747
92234,41,Cathedral City,0.031062533
92236,25,Coachella,100
92239,25,Desert Center,100
92240,25,Desert Hot Springs,100
92241,25,Desert Hot Springs,100
92242,25,Earp,100
92243,25,El Centro,100
92249,25,Heber,100
92250,25,Holtville,100
92251,25,Imperial,100
92252,23,Joshua Tree,100
92253,25,La Quinta,0.090855646
92253,41,La Quinta,99.90914435
92254,25,Mecca,100
92256,23,Morongo Valley,100
92257,25,Niland,100
92258,25,North Palm Springs,96.27831715
92258,41,North Palm Springs,3.721682848
92259,25,Ocotillo,100
92260,41,Palm Desert,100
92262,25,Palm Springs,4.204113865
92262,41,Palm Springs,95.79588614
92264,25,Palm Springs,0
92264,41,Palm Springs,100
92266,25,Palo Verde,100
92267,25,Parker Dam,100
92268,23,Pioneertown,100
92270,25,Rancho Mirage,0
92270,41,Rancho Mirage,100
92273,25,Seeley,100
92274,25,Thermal,100
92274,41,Thermal,0
92275,25,Salton City,100
92276,25,Thousand Palms,100
92276,41,Thousand Palms,0
92277,23,Twentynine Palms,99.983325
92277,25,Twentynine Palms,0.016675004
92278,23,Twentynine Palms,100
92280,25,Vidal,100
92281,25,Westmorland,100
92282,25,Whitewater,99.77777778
92282,41,Whitewater,0.222222222
92283,25,Winterhaven,100
92284,23,Yucca Valley,100
92285,23,Landers,100
92301,23,Adelanto,100
92304,23,Amboy,100
92305,23,Angelus Oaks,100
92307,23,Apple Valley,100
92308,23,Apple Valley,100
92309,23,Baker,100
92310,23,Fort Irwin,100
92311,23,Barstow,100
92313,33,Grand Terrace,100
92314,23,Big Bear City,100
92315,23,Big Bear Lake,100
92316,33,Bloomington,94.06922417
92316,35,Bloomington,5.930775832
92317,23,Blue Jay,100
92320,23,Calimesa,0.318852132
92320,41,Calimesa,99.68114787
92321,23,Cedar Glen,100
92322,23,Cedarpines Park,100
92324,23,Colton,8.22160816
92324,33,Colton,90.00443489
92324,39,Colton,1.255415686
92324,41,Colton,0.518541262
92325,23,Crestline,100
92327,23,Daggett,100
92328,3,Death Valley,100
92332,23,Essex,100
92332,25,Essex,0
92333,23,Fawnskin,100
92335,33,Fontana,4.350706485
92335,35,Fontana,95.64929351
92336,28,Fontana,0.040757898
92336,33,Fontana,99.9592421
92337,35,Fontana,100
92338,23,Ludlow,0
92339,23,Forest Falls,100
