zipcode,Income per capita,Median household income,Poverty, Median age,Median home value,Median monthly owner cost,Total Population,White Population,Black Population,American Indian Population,Asian Population,Hispanic Population,Population identifying as 2+ races,Percent of transit public transport,Latitude,Longitude,City,County
92363,20648,33479,1574,43.8,110700,905,5374,3750,116,805,53,1287,553,0,34.70863,-114.57562,Needles,San Bernardino
92008,51643,86046,2576,41.7,830700,2990,27119,22494,222,267,1058,5476,2146,365,33.14564,-117.31691,Carlsbad,San Diego
92036,38344,64861,233,58.1,389500,1820,2619,2207,98,2,2,347,287,0,33.01137,-116.37672,Julian,San Diego
92106,62484,114158,1074,39.1,1039300,3584,20592,16471,531,220,992,2844,1105,99,32.71334,-117.23617,San Diego,San Diego
92108,53133,80572,2182,32.5,405100,2285,21013,14347,1602,161,2275,5219,1658,292,32.77423,-117.14097,San Diego,San Diego
92109,57739,92379,3709,32.5,919700,3169,46777,39605,788,99,1864,7186,2552,538,32.78699,-117.23273,San Diego,San Diego
92121,58369,118155,800,32.4,802400,3101,4668,2650,50,0,1412,492,441,80,32.8973,-117.20231,San Diego,San Diego
92128,51775,104501,2687,44,645700,2661,52225,32324,1487,30,12117,5878,4106,308,32.99687,-117.07308,San Diego,San Diego
92227,19597,47367,8358,29.5,217500,1501,27165,20559,251,361,119,22280,2540,5,32.98677,-115.3341,Brawley,Imperial
92249,16113,58148,1077,29.5,208900,1571,8459,5052,8,126,96,8350,1554,0,32.72606,-115.48218,Heber,Imperial
92257,11002,,700,53.1,64600,926,1217,825,252,0,11,348,37,3,33.33976,-115.52814,Niland,Imperial
92264,54887,60318,2817,59.2,371000,2166,20881,17041,394,275,1140,4384,1129,95,33.73575,-116.50544,Palm Springs,Riverside
92277,20410,41322,5868,25.8,135800,1155,24464,15769,2368,149,831,5642,4164,33,34.11248,-115.68752,Twentynine Palms,San Bernardino
92301,14443,48819,8040,27.9,212200,1368,34791,18610,6265,301,510,23274,5274,15,34.65183,-117.52617,Adelanto,San Bernardino
92315,33883,55061,831,40.6,395800,1755,5307,4635,30,79,91,1666,354,0,34.22011,-116.95301,Big Bear Lake,San Bernardino
92105,21247,48072,18208,32.8,443100,1866,75990,32014,10109,1042,13587,39848,7138,2992,32.73756,-117.09193,San Diego,San Diego
92107,51062,84190,2824,35.4,924100,2950,31667,26038,897,242,1041,4726,2554,328,32.7402,-117.24357,San Diego,San Diego
95073,48076,96052,1371,41.7,813700,3075,11289,9846,27,34,252,1928,853,110,37.04068,-121.93174,Soquel,Santa Cruz
95139,47008,157500,124,38.6,861500,3143,7262,3948,53,0,1694,2497,1056,76,37.22489,-121.76393,San Jose,Santa Clara
95322,24942,60478,1976,35.4,299300,1577,10016,5796,8,136,286,6360,584,0,37.17622,-121.01861,Gustine,Merced
95372,31302,82979,113,36.3,297500,1748,1761,1634,0,80,0,244,47,0,37.98927,-120.26272,Soulsbyville,Tuolumne
95421,38497,61691,226,55.7,534900,2362,1662,1408,0,9,79,132,98,7,38.58276,-123.18037,Cazadero,Sonoma
95442,111898,144129,464,57.1,1153900,2821,3143,2752,6,37,0,198,38,0,38.3785,-122.51549,Glen Ellen,Sonoma
95635,33582,62308,120,56.5,316700,1830,801,728,20,0,0,148,22,0,38.91111,-120.90043,Greenwood,El Dorado
95351,16371,44517,10955,29,217600,1349,48844,30894,1523,306,2690,35323,6279,148,37.6236,-120.99828,Modesto,Stanislaus
95013,,,0,,,,34,34,0,0,0,0,0,0,37.21531,-121.73962,Coyote,Santa Clara
95053,4946,,0,19.4,,,3835,2457,94,30,795,642,275,12,37.34848,-121.93737,Santa Clara,Santa Clara
95075,48241,128750,24,45.1,786900,2688,429,410,0,4,2,105,6,0,36.80112,-121.19258,Tres Pinos,San Benito
95645,19604,44297,365,39.2,285200,1628,1704,1616,0,23,0,1304,38,0,38.89025,-121.79992,Knights Landing,Yolo
93932,33188,75446,98,54.4,309400,1656,502,467,18,0,17,13,0,0,36.00143,-121.05757,Lockwood,Monterey
93953,89772,143750,101,63.7,1364300,3985,3783,3096,19,0,529,320,76,0,36.58566,-121.94329,Pebble Beach,Monterey
93003,40014,81501,4430,41.3,593000,2416,51461,40965,1017,309,2499,17066,4302,443,34.28434,-119.22256,Ventura,Ventura
93023,46863,80685,1723,50.7,673200,2785,21011,18263,70,90,594,3964,1337,185,34.50372,-119.24856,Ojai,Ventura
93103,52794,84853,2098,39.6,1092500,3437,20542,14879,404,171,730,9593,1515,409,34.43888,-119.68173,Santa Barbara,Santa Barbara
93108,107232,165764,540,54.4,2000001,4001,10451,9110,75,8,436,992,564,5,34.44934,-119.60397,Santa Barbara,Santa Barbara
93601,33050,64634,102,56.1,320600,1645,1418,1321,0,20,0,64,74,0,37.39395,-119.73702,Ahwahnee,Madera
93603,22146,,99,58.8,,,141,141,0,0,0,0,0,0,36.55118,-118.99607,Badger,Tulare
93928,31680,,0,24.9,,,1019,651,113,0,91,213,164,66,36.06484,-121.38102,Jolon,Monterey
93245,27426,65631,4467,28.9,247100,1581,38275,23316,3012,1144,2564,14841,2895,30,36.28614,-119.83405,Lemoore,Kings
93449,61673,90837,650,57.5,759800,2727,8042,7104,95,7,262,671,241,52,35.15803,-120.6504,Pismo Beach,San Luis Obispo
93628,31959,,0,26.9,,,289,289,0,0,0,0,0,0,36.78149,-118.83839,Hume,Fresno
95959,43137,70975,2107,55,473200,2187,17838,16397,132,19,309,1451,826,12,39.34509,-120.86797,Nevada City,Nevada
95965,20519,35668,5093,37,189500,1320,20681,13460,952,401,3132,3105,1975,152,39.59169,-121.59034,Oroville,Butte
95966,25612,48228,4686,45.2,231200,1418,29444,22729,319,845,1603,4274,2788,87,39.47332,-121.43284,Oroville,Butte
95970,41147,65625,139,49.7,371700,1583,533,485,22,5,0,119,13,0,39.41159,-122.05176,Princeton,Glenn
95993,34953,74188,3153,38.6,343300,1848,37713,21650,691,470,10158,7427,3096,128,39.08171,-121.68798,Yuba City,Sutter
95204,30653,56041,4176,35.1,260400,1681,28860,17721,1929,162,2066,13984,3969,124,37.97403,-121.31906,Stockton,San Joaquin
95230,39507,90417,66,35.3,625000,3100,661,444,0,0,66,183,0,35,37.97361,-120.86492,Farmington,Stanislaus
95231,15095,54615,590,33.9,382100,1771,5520,3747,497,54,214,3485,241,20,37.87331,-121.29272,French Camp,San Joaquin
95246,33931,72841,60,58.5,316700,,1234,1207,0,20,7,165,0,0,38.23662,-120.49589,Mountain Ranch,Calaveras
95247,36721,56313,158,57.8,337900,1821,3853,3477,34,58,16,386,116,0,38.14264,-120.44359,Murphys,Calaveras
95315,20990,62533,2437,33.4,264000,1399,14434,5748,11,190,544,10281,652,71,37.42243,-120.7733,Delhi,Merced
95325,,,0,,,,65,65,0,0,0,32,0,0,37.48058,-120.24208,Hornitos,Mariposa
95326,32771,75388,1081,36.4,355900,2142,10669,8994,35,83,538,3095,280,29,37.58998,-120.8531,Hughson,Stanislaus
95328,17536,46277,869,31.1,288000,1180,3680,2449,23,71,39,2966,603,13,37.55797,-120.90932,Keyes,Stanislaus
95841,27946,53866,3035,35.3,281100,1636,20063,13716,1539,268,1646,4265,1933,101,38.66031,-121.34812,Sacramento,Sacramento
95912,27754,64923,455,34.5,330200,1664,5112,3777,51,20,9,3353,654,0,39.0016,-122.07462,Arbuckle,Colusa
95942,111240,174028,99,51.9,534500,2274,1605,1419,0,0,0,188,144,0,39.98954,-121.58872,Forest Ranch,Butte
95944,42585,,0,61.7,,,80,80,0,0,0,0,0,0,39.53482,-120.86159,Goodyears Bar,Sierra
95948,24344,56667,948,33.4,245300,1419,12122,9209,34,54,88,4673,425,0,39.34289,-121.75818,Gridley,Butte
95950,15526,33309,252,47.1,,,494,415,0,0,0,147,66,0,39.05144,-121.92196,Grimes,Colusa
95953,23916,59875,2014,33.8,247800,1550,11073,7097,167,50,1507,4981,1216,22,39.25018,-121.77309,Live Oak,Sutter
95956,40162,,19,55,249500,1245,399,356,0,22,21,22,0,0,39.8751,-121.12209,Meadow Valley,Plumas
95983,31536,47321,8,58,,2075,306,203,0,12,0,80,65,0,40.05827,-120.73897,Taylorsville,Plumas
95987,26563,72500,692,30.7,273400,1640,6040,4855,9,120,81,4644,590,0,39.10299,-122.2726,Williams,Colusa
95334,18359,59412,2786,31,234900,1473,17624,5832,19,213,2911,12514,889,0,37.34756,-120.74624,Livingston,Merced
95337,31801,86414,3954,34.6,442800,2258,40657,22713,2051,421,6368,16145,6069,364,37.74171,-121.23834,Manteca,San Joaquin
95356,36601,76225,2870,37.5,358900,1932,32387,21930,641,400,3248,9633,3299,247,37.71945,-121.02786,Modesto,Stanislaus
95363,25886,72898,2338,32.2,336700,1881,28333,18751,1329,200,1239,18951,3892,50,37.37251,-121.27192,Patterson,Stanislaus
95383,52086,75313,193,50.3,334300,1748,3816,3588,0,0,10,318,154,0,38.09534,-120.22602,Twain Harte,Tuolumne
95387,14577,53229,52,34.4,,,600,600,0,0,0,540,0,0,37.55429,-121.2451,Westley,Stanislaus
95403,35913,79990,3771,38.5,559000,2491,44716,28181,1050,417,2205,15666,3332,482,38.50326,-122.75358,Santa Rosa,Sonoma
95409,51596,77849,1544,51.3,647000,2700,26739,20818,269,198,1909,4472,1695,93,38.46116,-122.60425,Santa Rosa,Sonoma
95422,18750,36623,4447,38.6,131400,1184,15644,10519,693,679,145,4532,1190,136,38.97829,-122.6423,Clearlake,Lake
95423,30478,46833,593,54.2,203600,1177,3597,3166,30,68,58,507,38,0,39.06749,-122.62753,Clearlake Oaks,Lake
