zipcode,Income per capita,Median household income,Poverty, Median age,Median home value,Median monthly owner cost,Total Population,White Population,Black Population,American Indian Population,Asian Population,Hispanic Population,Population identifying as 2+ races,Percent of transit public transport,Latitude,Longitude,City,County
93436,27168.0,63966.0,7518,34.7,357500.0,1965.0,55727,34620,1815,1117,1994,29714,7738,960,34.60888,-120.4002,Lompoc,Santa Barbara
93441,61317.0,94464.0,27,55.2,956400.0,3250.0,861,808,0,0,0,185,0,0,34.73296,-120.09721,Los Olivos,Santa Barbara
93452,26255.0,49194.0,28,33.6,281100.0,1884.0,550,540,0,0,10,406,0,0,35.71078,-121.20396000000001,San Simeon,San Luis Obispo
93518,33718.0,46250.0,103,63.0,196200.0,1507.0,833,731,14,27,14,115,29,0,35.37675,-118.47313999999999,Caliente,Kern
93522,18528.0,,0,64.3,32000.0,,90,53,0,0,0,0,37,0,36.298359999999995,-117.59681,Darwin,Inyo
93528,,,48,,,,48,48,0,0,0,0,0,0,35.37194,-117.64193,Johannesburg,Kern
93207,19567.0,20500.0,62,62.5,162500.0,1479.0,216,179,0,29,8,0,0,0,35.887209999999996,-118.63153,California Hot Springs,Tulare
93544,27536.0,38523.0,289,56.3,225000.0,2008.0,1086,877,136,0,0,230,33,0,34.490629999999996,-117.75505,Llano,Los Angeles
93727,25087.0,62413.0,17395,31.4,279100.0,1695.0,84656,41997,4198,672,21929,37185,7762,184,36.75119,-119.69736,Fresno,Fresno
93204,12128.0,49781.0,2829,29.4,144800.0,876.0,13033,5447,571,96,44,11339,1280,0,35.908190000000005,-120.06776,Avenal,Kings
92066,35644.0,68250.0,62,55.3,362500.0,2219.0,350,334,10,6,0,6,0,0,33.21541,-116.53583,Ranchita,San Diego
92091,88643.0,165132.0,116,57.1,972600.0,4001.0,1311,896,0,0,269,18,128,16,33.03432,-117.19703999999999,Rancho Santa Fe,San Diego
92103,63346.0,78338.0,3003,41.1,817300.0,3064.0,34246,27165,1068,47,2575,6273,2241,731,32.747820000000004,-117.16738000000001,San Diego,San Diego
92113,17948.0,43958.0,11511,27.9,388100.0,1831.0,58231,39546,6201,237,2298,43416,3413,2580,32.69591,-117.12012,San Diego,San Diego
92116,52608.0,78697.0,2578,35.7,655900.0,2515.0,32361,23545,1576,248,2059,9964,3125,509,32.76484,-117.12303,San Diego,San Diego
92118,65725.0,108992.0,1205,41.8,1656800.0,4001.0,23426,20282,832,196,719,3944,1062,150,32.674659999999996,-117.16915,Coronado,San Diego
92060,61434.0,,0,61.4,2000001.0,,457,381,0,0,0,0,76,0,33.350429999999996,-116.86451000000001,Palomar Mountain,San Diego
92075,64968.0,104201.0,637,46.0,1338700.0,4001.0,12691,9981,123,39,823,1907,1004,36,32.99735,-117.25875,Solana Beach,San Diego
92083,27966.0,68551.0,4518,33.1,443800.0,2101.0,39276,27474,1221,253,1974,23674,4802,472,33.19808,-117.24843999999999,Vista,San Diego
92084,31317.0,77970.0,5091,34.5,575600.0,2569.0,50306,38843,1207,444,1263,24217,4289,142,33.224540000000005,-117.20334,Vista,San Diego
92104,46204.0,73447.0,4916,34.3,627800.0,2525.0,45601,32266,3248,523,2917,13873,4040,1505,32.74191,-117.12781000000001,San Diego,San Diego
92325,30241.0,63707.0,1131,42.1,265300.0,1489.0,8647,7555,293,106,36,1721,409,0,34.245540000000005,-117.27506000000001,Crestline,San Bernardino
92333,50885.0,80000.0,15,64.6,410000.0,1944.0,409,409,0,0,0,0,0,0,34.26951,-116.96276999999999,Fawnskin,San Bernardino
92336,30846.0,96447.0,8586,33.0,434200.0,2355.0,98731,40559,10428,568,10463,57320,9181,788,34.13686,-117.46033,Fontana,San Bernardino
92365,24098.0,55938.0,442,50.2,103500.0,1066.0,2527,1859,93,62,285,384,183,0,34.88843,-116.54128999999999,Newberry Springs,San Bernardino
92389,25765.0,33173.0,32,72.1,104200.0,,212,163,0,34,0,37,11,0,35.82902,-116.24813,Tecopa,Inyo
92398,34622.0,55572.0,94,36.7,102500.0,1907.0,1643,1426,0,0,136,376,81,0,34.971779999999995,-116.83808,Yermo,San Bernardino
92606,48419.0,112688.0,2856,34.6,863900.0,3122.0,27410,11167,625,8,12019,2846,2720,151,33.69849,-117.8123,Irvine,Orange
92802,24180.0,66429.0,7270,33.1,562300.0,2281.0,44013,26284,1203,162,6264,28980,4166,642,33.80831,-117.9237,Anaheim,Orange
92501,27634.0,71204.0,2169,33.0,337200.0,1657.0,21967,11419,1178,225,1048,13373,1546,98,33.99496,-117.37366999999999,Riverside,Riverside
92508,36943.0,121021.0,2710,35.5,490800.0,2648.0,38518,20794,3244,72,5162,12398,3982,410,33.890390000000004,-117.3282,Riverside,Riverside
92518,30555.0,75741.0,247,37.3,,,1266,665,42,30,150,325,276,0,33.89602,-117.27705,March Air Reserve Base,Riverside
92705,48289.0,106058.0,3970,39.0,876700.0,3372.0,47044,29683,993,304,4010,20714,3106,411,33.755,-117.81488,Santa Ana,Orange
95954,25645.0,53547.0,1797,47.5,191200.0,1431.0,12221,10635,0,189,73,1319,1205,43,39.94916,-121.54088,Magalia,Butte
95962,42029.0,,138,40.3,281300.0,1945.0,1053,1006,34,0,0,31,0,0,39.32669,-121.26876000000001,Oregon House,Yuba
95969,32409.0,49681.0,2737,56.5,269500.0,1879.0,19112,17476,84,270,165,1167,816,140,39.721779999999995,-121.63388,Paradise,Butte
95971,31210.0,58523.0,647,43.3,263100.0,1665.0,5948,5048,274,67,37,540,273,4,39.92895,-120.91608000000001,Quincy,Plumas
95975,25503.0,68172.0,382,46.6,418300.0,2164.0,1736,1689,0,47,0,36,0,0,39.22436,-121.15366999999999,Rough And Ready,Nevada
95977,28301.0,62830.0,111,36.6,386700.0,2250.0,1586,1294,26,33,2,90,204,1,39.17967,-121.29007,Smartsville,Yuba
95986,32124.0,63750.0,0,65.1,275000.0,,123,123,0,0,0,0,0,0,39.36149,-120.7652,Washington,Nevada
95002,35104.0,100000.0,94,31.8,562500.0,2493.0,2251,539,49,38,316,1374,109,0,37.44075,-122.00046999999999,Alviso,Santa Clara
95006,53101.0,111792.0,607,46.7,623700.0,2962.0,9457,8242,66,82,79,1249,615,101,37.17129,-122.15100000000001,Boulder Creek,Santa Cruz
95019,18601.0,59256.0,669,31.9,445800.0,2069.0,8743,2339,445,0,199,8040,844,0,36.93575,-121.78458,Freedom,Santa Cruz
