,Zip Code,Students Standard Exceeded,Students Standard Met,Students Standard Met and Above,Students Standard Nearly Met,Students Standard Not Met,Students with Scores,Percentage Standard Exceeded,Percentage Standard Met,Percentage Standard Met and Above,Percentage Standard Nearly Met,Percentage Standard Not Met,Median Mortgage
77,90255,605.0,1211.0,1816.0,2332.0,4959.0,9107,6.643241462611178,13.297463489623368,19.940704952234544,25.606676183155813,54.45261886460963,455000
78,90260,396.0,776.0,1172.0,1208.0,1850.0,4230,9.361702127659575,18.3451536643026,27.706855791962177,28.557919621749413,43.73522458628842,597300
79,90262,366.0,774.0,1140.0,1537.0,3542.0,6219,5.885190545103714,12.445730824891461,18.330921369995178,24.71458433831806,56.954494291686764,449600
80,90265,181.0,146.0,327.0,140.0,100.0,567,31.922398589065253,25.749559082892414,57.67195767195767,24.691358024691358,17.636684303350968,2000000
81,90266,1326.0,740.0,2066.0,484.0,273.0,2823,46.971307120085015,26.213248317392846,73.18455543747785,17.1448813319164,9.670563230605739,2000000
82,90270,158.0,314.0,472.0,496.0,886.0,1854,8.522114347357066,16.936353829557714,25.458468176914778,26.7529665587918,47.78856526429342,481800
83,90272,299.0,273.0,572.0,243.0,275.0,1090,27.431192660550458,25.045871559633028,52.477064220183486,22.293577981651378,25.229357798165136,2000000
84,90274,1027.0,597.0,1624.0,401.0,238.0,2263,45.38223596995139,26.380910296067167,71.76314626601857,17.71984091913389,10.517012814847547,1757700
85,90275,1824.0,991.0,2815.0,878.0,656.0,4349,41.94067601747528,22.786847551161184,64.72752356863647,20.188549091745227,15.083927339618302,1247000
86,90277,969.0,640.0,1609.0,498.0,384.0,2491,38.90004014452027,25.69249297470895,64.59253311922922,19.991971095945406,15.415495784825373,1143800
87,90278,968.0,670.0,1638.0,489.0,291.0,2418,40.033085194375516,27.70885028949545,67.74193548387096,20.22332506203474,12.034739454094293,992600
88,90280,705.0,1273.0,1978.0,2328.0,4542.0,8848,7.967902350813744,14.3874321880651,22.355334538878843,26.31103074141049,51.33363471971067,470200
89,90290,28.0,22.0,50.0,20.0,12.0,82,34.146341463414636,26.82926829268293,60.97560975609756,24.390243902439025,14.634146341463413,1184900
90,90291,220.0,156.0,376.0,142.0,188.0,706,31.1614730878187,22.096317280453256,53.25779036827195,20.113314447592067,26.628895184135974,1899800
91,90292,17.0,20.0,37.0,54.0,114.0,205,8.292682926829269,9.75609756097561,18.048780487804876,26.34146341463415,55.60975609756098,1076900
92,90293,10.0,23.0,33.0,37.0,39.0,109,9.174311926605505,21.100917431192663,30.275229357798167,33.94495412844037,35.77981651376147,899000
93,90301,99.0,266.0,365.0,629.0,1545.0,2539,3.8991729027176056,10.476565576998818,14.375738479716423,24.77353288696337,60.85072863332021,547900
94,90302,182.0,317.0,499.0,466.0,682.0,1647,11.050394656952033,19.247115968427444,30.297510625379477,28.29386763812993,41.40862173649059,590000
95,90303,93.0,168.0,261.0,359.0,868.0,1488,6.25,11.29032258064516,17.540322580645164,24.126344086021508,58.333333333333336,606100
96,90304,203.0,496.0,699.0,1014.0,1272.0,2985,6.800670016750419,16.61641541038526,23.417085427135678,33.969849246231156,42.61306532663316,586600
97,90305,2.0,25.0,27.0,57.0,193.0,277,0.7220216606498195,9.025270758122744,9.747292418772563,20.577617328519857,69.67509025270758,646500
98,90402,96.0,49.0,145.0,26.0,9.0,180,53.333333333333336,27.22222222222222,80.55555555555556,14.444444444444443,5.0,2000000
99,90403,684.0,363.0,1047.0,281.0,160.0,1488,45.96774193548387,24.39516129032258,70.36290322580645,18.884408602150536,10.75268817204301,1523400
100,90404,135.0,108.0,243.0,80.0,52.0,375,36.0,28.799999999999997,64.8,21.333333333333336,13.866666666666665,922900
101,90405,565.0,489.0,1054.0,506.0,556.0,2116,26.70132325141777,23.109640831758036,49.810964083175804,23.91304347826087,26.27599243856333,1430800
102,90501,404.0,466.0,870.0,474.0,591.0,1935,20.878552971576227,24.08268733850129,44.96124031007752,24.496124031007753,30.54263565891473,724900
103,90502,58.0,86.0,144.0,120.0,169.0,433,13.394919168591224,19.861431870669747,33.25635103926097,27.713625866050805,39.03002309468822,520700
104,90503,1304.0,912.0,2216.0,760.0,628.0,3604,36.18201997780244,25.305216426193116,61.48723640399556,21.08768035516093,17.42508324084351,861000
105,90504,778.0,571.0,1349.0,623.0,621.0,2593,30.003856536829925,22.020825298881604,52.024681835711526,24.0262244504435,23.949093713844967,712300
